covidence_number,openalex_id
1,https://openalex.org/W2152772232
2,https://openalex.org/W2894614743
3,https://openalex.org/W1985583205
4,https://openalex.org/W2795111036
5,https://openalex.org/W2794959205
6,https://openalex.org/W1910293941
7,https://openalex.org/W2954141833
9,https://openalex.org/W979979263
10,https://openalex.org/W2800108839
11,https://openalex.org/W2990682070
12,https://openalex.org/W2143971103
13,https://openalex.org/W2333075867
14,https://openalex.org/W2995419839
15,https://openalex.org/W2734977252
16,https://openalex.org/W2397988723
17,https://openalex.org/W3012097120
18,https://openalex.org/W2803521102
19,https://openalex.org/W4283328039
20,https://openalex.org/W3010893400
21,https://openalex.org/W2890486443
22,https://openalex.org/W2887503755
23,https://openalex.org/W2942743512
24,https://openalex.org/W3200912418
25,https://openalex.org/W3200489085
26,https://openalex.org/W3147568506
27,https://openalex.org/W2409681126
28,https://openalex.org/W3187478455
29,https://openalex.org/W3046907160
30,https://openalex.org/W3178415250
31,https://openalex.org/W4282923387
32,https://openalex.org/W2964975265
34,https://openalex.org/W2786732657
35,https://openalex.org/W2975676574
36,https://openalex.org/W3200858835
37,https://openalex.org/W3159499351
39,https://openalex.org/W2900940968
41,https://openalex.org/W2318933458
43,https://openalex.org/W2770831828
46,https://openalex.org/W1510311228
47,https://openalex.org/W156480166
48,https://openalex.org/W1042064430
50,https://openalex.org/W2946978801
52,https://openalex.org/W2099003380
53,https://openalex.org/W2104611034
55,https://openalex.org/W1980390943
56,https://openalex.org/W2129299052
59,https://openalex.org/W2073824376
60,https://openalex.org/W2156288479
62,https://openalex.org/W2954728922
63,https://openalex.org/W284083829
64,https://openalex.org/W2903020030
66,https://openalex.org/W2268100419
67,https://openalex.org/W2017085412
68,https://openalex.org/W2893825711
69,https://openalex.org/W2765492483
70,https://openalex.org/W2041657664
72,https://openalex.org/W2598202550
73,https://openalex.org/W2078929060
74,https://openalex.org/W2784051138
75,https://openalex.org/W2770257788
78,https://openalex.org/W2742406160
79,https://openalex.org/W2605389978
83,https://openalex.org/W2537272447
86,https://openalex.org/W1528882786
87,https://openalex.org/W2593992367
89,https://openalex.org/W2163268415
88,https://openalex.org/W2163268415
92,https://openalex.org/W2899457845
94,https://openalex.org/W2900628320
97,https://openalex.org/W2184986070
99,https://openalex.org/W2414261638
100,https://openalex.org/W2102426328
101,https://openalex.org/W2001863680
103,https://openalex.org/W2559934860
104,https://openalex.org/W2903727780
107,https://openalex.org/W2612442806
108,https://openalex.org/W2785790261
109,https://openalex.org/W2116461812
110,https://openalex.org/W2157773836
111,https://openalex.org/W2169659740
112,https://openalex.org/W2890910714
113,https://openalex.org/W2090048619
115,https://openalex.org/W2773304144
117,https://openalex.org/W2809009215
124,https://openalex.org/W2924786395
133,https://openalex.org/W3133487676
134,https://openalex.org/W3143585400
140,https://openalex.org/W2999918153
143,https://openalex.org/W2334763311
145,https://openalex.org/W2890888035
146,https://openalex.org/W2946580620
148,https://openalex.org/W2755680423
151,https://openalex.org/W2768524411
159,https://openalex.org/W2524834562
192,https://openalex.org/W2914216581
196,https://openalex.org/W3023680822
203,https://openalex.org/W4281391905
208,https://openalex.org/W2754842835
211,https://openalex.org/W2555457137
212,https://openalex.org/W2963746606
214,https://openalex.org/W2920932621
215,https://openalex.org/W2803973178
218,https://openalex.org/W2676449823
224,https://openalex.org/W2468054471
